Feature,Importance
AVG_R_BAL_BY_MAX_BAL_12M,0.00338230631011521
AVG_PND_MAS_R_BAL_BY_MAX_BAL_12M,0.00338230631011521
AVG_SALINI_BK_OP_ACC_06M,0.00338230631011521
MAX_VIGENTEC_OP_ACC,0.00338230631011521
AVG_SALINI_CL_ACC_12M,0.00338230631011521
AVG_FD_CALCAR_L,0.00338230631011521
AVG_PND_MAS_PCT_VENC29_03M,0.0032766092379241094
NBK12_DEUDA_TOT,0.0032766092379241094
R_BAL_BY_CRED_LIM,0.0032766092379241094
NBK12_PCT_SAT,0.003170912165733009
MAX_SALINI_BRG_CL_ACC,0.003170912165733009
MAX_SALINI_OP_ACC,0.003170912165733009
AVG_PND_MENOS_PCT_VENC29_03M,0.003170912165733009
MIN_MS_OP_BK_OP_ACC,0.003170912165733009
MAX_R_BAL_BY_CRED_LIM_06M,0.003170912165733009
MIN_D_CRED_LIM_TO_BAL_06M,0.003170912165733009
AVG_PCT_VENC29_12M,0.003065215093541909
AVG_PND_MENOS_MAX_HI_CALCAR_L_12M,0.003065215093541909
MAX_VIGENTEC_BK_CS_OP_ACC,0.003065215093541909
MAX_R_BAL_BY_MAX_BAL_12M,0.0029595180213508087
MIN_SALINI_BRG_CL_ACC,0.0029595180213508087
AVG_PND_MAS_VENCIDO1MAS_03M,0.0029595180213508087
AVG_VIGENTEC_BK_OP_ACC_06M,0.0029595180213508087
MIN_SALINI_BK_OP_ACC,0.0028538209491597083
MIN_SALINI_BK_R_OP_ACC_06M,0.0028538209491597083
AVG_PCT_VENC29_06M,0.0028538209491597083
AVG_PND_MENOS_AVG_HI_CALCAR_L_03M,0.0028538209491597083
AVG_MAX_VP_PER_U12M,0.0028538209491597083
AVG_PND_MENOS_VENC29_12M,0.0028538209491597083
AVG_MS_OP_BRG_R_OP_ACC,0.0028538209491597083
AVG_PND_MAS_AVG_HI_CALCAR_L_06M,0.002748123876968608
AVG_PND_MAS_MAX_HI_CALCAR_L_03M,0.002748123876968608
NUM_CL_ACC,0.002748123876968608
AVG_AVG_HI_CALCAR_L_12M,0.002748123876968608
AVG_MS_CL_BK_CS_CL_ACC,0.002748123876968608
AVG_PCT_VIGENTEC_OP_ACC_12M,0.002748123876968608
SUM_VIGENTEH_12M,0.002748123876968608
MIN_R_BAL_BY_CRED_LIM_06M,0.002748123876968608
AVG_MAX_HI_CALCAR_FLOOR_06M,0.0026424268047775075
AVG_PND_MAS_AVG_HI_CALCAR_CEIL_03M,0.0026424268047775075
AVG_PND_MENOS_AVG_HI_CALCAR_CEIL_03M,0.0026424268047775075
AVG_MAX_VP_PER_U03M_2,0.0026424268047775075
MIN_D_CRED_LIM_TO_BAL_03M,0.0026424268047775075
MIN_SALINI_BK_CS_OP_ACC,0.0026424268047775075
MIN_MS_CL_CL_ACC,0.0025367297325864075
AVG_MS_OP_BK_R_OP_ACC,0.0025367297325864075
MAX_VENC1M_OP_ACC,0.0025367297325864075
MAX_SALINI_BK_R_OP_ACC_12M,0.0025367297325864075
AVG_MS_CL_BK_CL_ACC,0.0025367297325864075
MAX_MS_CL_BRG_R_CL_ACC,0.0025367297325864075
D_CRED_LIM_TO_BAL,0.0025367297325864075
MIN_MAX_HI_CALCAR_FLOOR_12M,0.0025367297325864075
AVG_PND_MENOS_AVG_HI_CALCAR_CEIL_06M,0.002431032660395307
NUM_OP_ACC,0.002431032660395307
